riverflow,CSOspills,cso15,cso18
3.734,64.701,12.4833,52.2177
4.276,171.6471,77.4339,94.2132
6.09325,379.11405,191.87205,187.242
9.371,643.59435,400.08945,243.5049
13.16825,754.02375,454.22895,299.7948
16.24975,923.9955,589.6557,334.3398
17.75925,786.63345,509.37975,277.2537
18.60175,10.70355,0,10.70355
4.14175,3.8961,0,3.8961
4.9375,0.3108,0,0.3108
7.76525,153.7254,66.41445,87.31095
10.16575,110.8275,53.69415,57.13335
11.82925,3.72465,0,3.72465
10.5785,77.00865,59.4042,17.60445
6.58125,52.032,13.1481,38.8839
6.51075,609.7383,409.671,200.0673
5.1925,0.4323,0,0.4323
4.118,71.6514,58.7139,12.9375
4.23475,449.1453,266.5869,182.5584
4.36675,154.9839,135.4272,19.5567
4.36,0.3,0,0.3
4.324,46.4289,37.491,8.9379
4.73725,36.5496,26.3631,10.1865
4.9035,4.9293,4.7793,0.15
5.66725,118.3158,76.5891,41.7267
6.02125,1.0548,0,1.0548
6.61025,44.74965,11.4309,33.31875
7.7135,274.87425,179.1723,95.70195
4.599,39.7743,34.029,5.7453
5.42425,652.97355,422.11185,230.8617
6.15525,5.88165,5.88165,0
10.16125,70.3449,54.1488,16.1961
10.4,1.6599,0,1.6599
10.368,19.6617,10.2912,9.3705
9.7465,36.5001,29.5239,6.9762
7.274,44.48325,28.581075,15.902175
6.82275,84.6732,45.120825,39.552375
7.972,5.4144,1.8789,3.5355
9.20375,15.6774,0.23085,15.44655
9.03825,195.3552,133.88025,61.47495
6.97375,6.3984,0,6.3984
7.528,1.0524,0,1.0524
9.507,1.67805,0,1.67805
11.9875,7.0668,0,7.0668
13.78,0.203925,0,0.203925
15.10975,0.847125,0,0.847125
7.34325,265.78125,140.31945,125.4618
8.461,290.52975,217.71465,72.8151
8.05575,2.5167,0,2.5167
7.767,0.9669,0,0.9669
8.75825,95.7174,43.8261,51.8913
9.632,7.9734,3.2184,4.755
2.017,14.9274,11.3934,3.534
2.3165,69.0492,54.738,14.3112
2.8425,173.02005,93.08565,79.9344
3.1955,82.6176,55.03425,27.58335
3.54125,24.09555,9.2988,14.79675
4.36675,0.4299,0,0.4299
4.254,1.443,0,1.443
3.5395,2.2419,0,2.2419
3.497,66.063525,29.115975,36.94755
3.717,269.57985,154.75155,114.8283
4.32425,1.4226,0,1.4226
6.366,188.49975,100.7499,87.74985
9.16025,116.71935,73.2996,43.41975
5.1485,78.0699,59.6805,18.3894
2.6915,21.8481,6.315,15.5331
2.918,490.8006,291.0267,199.7739
3.21125,663.57015,377.8398,285.73035
4.462,207.08265,163.308,43.77465
8.97875,80.1129,53.4453,26.6676
8.7575,30.9834,21.6534,9.33
7.47775,15.8331,3.27765,12.55545
7.9795,127.9263,59.73255,68.19375
6.157,0.15,0,0.15
6.36475,398.1387,227.52765,170.61105
6.757,299.4975,176.16945,123.32805
4.4085,25.8039,19.9059,5.898
3.69625,1.071,0,1.071
4.92925,1.0296,0,1.0296
4.95,238.03305,112.842,125.19105
5.97225,937.4037,595.6974,341.7063
9.29325,0.67695,0,0.67695
8.9785,249.8337,146.26275,103.57095
8.7855,126.39105,103.3653,23.02575
8.70425,1.36095,1.36095,0
6.083,50.4324,32.85555,17.57685
5.95875,1.7337,1.40235,0.33135
6.3205,118.5216,87.1032,31.4184
4.5245,0.2154,0,0.2154
4.4755,10.1469,5.6073,4.5396
0.9525,0.3,0,0.3
1.006,5.5074,4.191,1.3164
1.0655,166.64175,86.14335,80.4984
1.20675,501.9051,340.08975,161.81535
1.2575,132.32985,59.6628,72.66705
7.154,30.16035,17.0562,13.10415
6.576,18.73335,13.4814,5.25195
1.554,1.3932,0,1.3932
1.2035,22.8498,0,22.8498
4.19625,45.1926,20.4828,24.7098
5.13825,15.1665,6.7023,8.4642
0.662,1.5405,0,1.5405
0.72625,20.0889,0,20.0889
0.7785,2.3187,0,2.3187
0.365,202.01235,125.625,76.38735
0.429,39.26565,38.2494,1.01625
0.3995,1.9944,0,1.9944
0.468,398.1228,232.1619,165.9609
0.7035,879.219,569.10795,310.11105
0.7505,234.7368,163.50855,71.22825
0.496,73.3263,46.0638,27.2625
0.50125,64.32675,32.13405,32.1927
0.65975,10.80105,10.80105,0
0.5655,227.18595,145.6989,81.48705
0.71125,36.86685,20.7693,16.09755
0.331,3.9933,0,3.9933
0.32725,326.09175,222.1008,103.99095
0.32725,96.11085,91.1751,4.93575
0.35725,22.6329,1.5711,21.0618
0.3625,123.3528,45.4842,77.8686
0.394,36.77475,8.2572,28.51755
0.40425,592.78005,399.2406,193.53945
0.532,376.70115,225.5295,151.17165
0.588,192.94665,78.2421,114.70455
0.64125,1.1661,0,1.1661
0.62075,0.3,0,0.3
0.384,36.67005,16.57665,20.0934
0.404,12.25755,4.35405,7.9035
0.67,121.1436,65.4036,55.74
0.686,699.723,445.071,254.652
0.772,1153.09935,674.66415,478.4352
1.06125,1067.5476,657.96165,409.58595
1.51975,530.34075,339.9774,190.36335
0.95775,6.24795,0,6.24795
1.0435,596.75925,394.5573,202.20195
1.12925,7.5234,1.5648,5.9586
1.198,397.0554,247.11945,149.93595
1.541,435.92745,260.67315,175.2543
2.101,244.27935,142.0338,102.24555
2.714,7.4355,0.3279,7.1076
2.93325,125.7099,88.9653,36.7446
3.4735,59.20635,6.35655,52.8498
5.21,9.8094,2.08695,7.72245
9.6615,7.20735,1.5111,5.69625
1.7455,58.9209,42.8139,16.107
1.8305,3.2244,0,3.2244
1.784,1.84005,0,1.84005
1.714,7.00425,5.2149,1.78935
7.10025,33.8124,21.0882,12.7242
2.485,24.1008,18.7428,5.358
3.92275,7.8144,4.5522,3.2622
2.99875,29.77305,10.9998,18.77325
3.0575,5.67225,2.1051,3.56715
5.763,291.36465,198.6642,92.70045
5.7345,10.20045,9.9489,0.25155
1.9495,17.3076,13.3596,3.948
0.67825,426.9438,266.3697,160.5741
0.76975,300.40605,175.2294,125.17665
0.8535,1.44615,0,1.44615
0.731,452.96175,255.8466,197.11515
0.8535,685.42245,460.3242,225.09825
2.5135,0.7035,0,0.7035
4.187,32.7498,23.3244,9.4254
0.77625,3.5649,0,3.5649
0.9225,297.8601,172.8378,125.0223
1.06775,3.1014,0,3.1014
1.99475,383.1222,246.0981,137.0241
1.9125,274.2798,178.7388,95.541
